Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-10-20,215.800003,217.369995,213.089996,214.649994,213.597534,22753500,-0.0053290499722560775
2020-10-21,213.119995,216.919998,213.119995,214.800003,213.746826,22724900,0.007882920605361384
2020-10-22,213.929993,216.059998,211.699997,214.889999,213.836365,22351500,0.004487477359006845
2020-10-23,215.029999,216.279999,213.160004,216.229996,215.169800,18879600,0.0055806027325517316
2020-10-26,213.850006,216.339996,208.100006,210.080002,209.049957,37111600,-0.01762919754138328
2020-10-27,211.589996,214.669998,210.330002,213.250000,212.204422,36700300,0.007845380364769165
2020-10-28,207.669998,208.839996,202.100006,202.679993,201.686234,51195600,-0.024028531073612264
2020-10-29,204.070007,207.360001,203.369995,204.720001,203.716232,31432600,0.0031851520444157793
2020-10-30,203.500000,204.289993,199.619995,202.470001,201.477280,36953700,-0.005061420147420165
2020-11-02,204.289993,205.279999,200.119995,202.330002,201.337952,30842200,-0.00959416059111619
2020-11-03,203.889999,208.119995,203.119995,206.429993,205.417847,27512000,0.01245766841168118
2020-11-04,214.020004,218.320007,212.419998,216.389999,215.329010,42311800,0.01107370785770095
2020-11-05,222.039993,224.119995,221.149994,223.289993,222.195190,36080100,0.005629616462832441
2020-11-06,222.259995,224.360001,218.029999,223.720001,222.623077,25231900,0.006568910433026837
2020-11-09,224.440002,228.119995,217.880005,218.389999,217.319214,44395000,-0.026955992452717962
2020-11-10,214.500000,216.500000,209.720001,211.009995,209.975388,44045100,-0.016270419580419564
2020-11-11,212.389999,218.039993,212.199997,216.550003,215.488235,29440800,0.01958662846455409
2020-11-12,217.210007,219.110001,214.460007,215.440002,214.383682,21593900,-0.008148818852531034
2020-11-13,216.360001,217.419998,214.160004,216.509995,215.448425,18621100,0.0006932612280769606
2020-11-16,214.869995,217.740005,214.520004,217.229996,216.164902,24953300,0.010983390212300286
2020-11-17,216.100006,217.679993,214.080002,214.460007,213.408493,24154100,-0.007589074291835129
2020-11-18,213.649994,215.169998,210.929993,211.080002,210.594971,28372800,-0.01202898231768724
